name,root_url,ecosystems,separator,found_repos
sonar-python,https://github.com/sonarsource/sonar-python,"Go, Maven",-,"sonar-dotnet, sonar-go, sonar-java, sonar-kotlin, sonar-php, sonar-python, sonar-ruby, sonar-rust, sonar-scala"
sonar-java,https://github.com/sonarsource/sonar-java,"Go, Maven",-,"sonar-dotnet, sonar-go, sonar-java, sonar-kotlin, sonar-php, sonar-python, sonar-ruby, sonar-rust, sonar-scala"
lsif-java,https://github.com/sourcegraph/lsif-java,"Go, Maven",-,"lsif-clang, lsif-cpp, lsif-dart, lsif-go, lsif-node, lsif-py"
jackson-module-scala,https://github.com/fasterxml/jackson-module-scala,"Go, Maven",-,"jackson-module-kotlin, jackson-module-scala"
sodium,https://github.com/sodiumfrp/sodium,"Go, Maven",-,"sodium-cxx, sodium-kotlin, sodium-rust, sodium-swift, sodium-typescript"
hoverfly-java,https://github.com/spectolabs/hoverfly-java,"Go, Maven",-,"hoverfly-dotnet, hoverfly-java, hoverfly-npm, hoverfly-php, hoverfly-ruby"
federation-jvm,https://github.com/apollographql/federation-jvm,"Go, Maven",-,"federation-jvm, federation-rs"
sdk-java,https://github.com/cloudevents/sdk-java,"Go, Maven",-,"sdk-csharp, sdk-go, sdk-java, sdk-javascript, sdk-php, sdk-python, sdk-ruby, sdk-rust"
algoliasearch-client-scala,https://github.com/algolia/algoliasearch-client-scala,"Go, Maven",-,"algoliasearch-client-csharp, algoliasearch-client-dart, algoliasearch-client-go, algoliasearch-client-java, algoliasearch-client-javascript, algoliasearch-client-kotlin, algoliasearch-client-node, algoliasearch-client-php, algoliasearch-client-python, algoliasearch-client-ruby, algoliasearch-client-scala, algoliasearch-client-swift"
influxdb-java,https://github.com/influxdata/influxdb-java,"Go, Maven",-,"influxdb-c, influxdb-csharp, influxdb-fsharp, influxdb-go, influxdb-java, influxdb-nodejs, influxdb-php, influxdb-python, influxdb-r, influxdb-scala"
opensearch,https://github.com/opensearch-project/opensearch,"Go, Maven",-,"opensearch-go, opensearch-java, opensearch-js, opensearch-net, opensearch-php, opensearch-py, opensearch-rs, opensearch-ruby"
timechannel.java,https://github.com/antonybi/timechannel.java,"Go, Maven",.,"timechannel.go, timechannel.java"
oapi-sdk-java,https://github.com/larksuite/oapi-sdk-java,"Go, Maven",-,"oapi-sdk-go, oapi-sdk-java, oapi-sdk-nodejs, oapi-sdk-python"
gapic-generator-java,https://github.com/googleapis/gapic-generator-java,"Go, Maven",-,"gapic-generator-cpp, gapic-generator-csharp, gapic-generator-go, gapic-generator-kotlin, gapic-generator-php, gapic-generator-python, gapic-generator-ruby, gapic-generator-typescript"
pulumi-java,https://github.com/pulumi/pulumi-java,"Go, Maven",-,"pulumi-dotnet, pulumi-java"
sonar-kotlin,https://github.com/sonarsource/sonar-kotlin,"Go, Maven",-,"sonar-dotnet, sonar-go, sonar-java, sonar-kotlin, sonar-php, sonar-python, sonar-ruby, sonar-rust, sonar-scala"
opentelemetry-java,https://github.com/open-telemetry/opentelemetry-java,"Go, Maven",-,"opentelemetry-cpp, opentelemetry-dotnet, opentelemetry-erlang, opentelemetry-go, opentelemetry-java, opentelemetry-js, opentelemetry-kotlin, opentelemetry-php, opentelemetry-python, opentelemetry-ruby, opentelemetry-rust, opentelemetry-swift"
ardielle-java,https://github.com/ardielle/ardielle-java,"Go, Maven",-,"ardielle-go, ardielle-java"
vinyldns,https://github.com/vinyldns/vinyldns,"Go, Maven",-,"vinyldns-java, vinyldns-js, vinyldns-python, vinyldns-ruby"
motan,https://github.com/weibocom/motan,"Go, Maven",-,"motan-go, motan-php"
lingua,https://github.com/pemistahl/lingua,"Go, Maven",-,"lingua-go, lingua-js, lingua-py, lingua-rs"
sonar-go,https://github.com/sonarsource/sonar-go,"Go, Maven",-,"sonar-dotnet, sonar-go, sonar-java, sonar-kotlin, sonar-php, sonar-python, sonar-ruby, sonar-rust, sonar-scala"
geographiclib,https://github.com/geographiclib/geographiclib,"Go, Maven",-,"geographiclib-c, geographiclib-java, geographiclib-js, geographiclib-python"
microsoft-authentication-library-for-java,https://github.com/azuread/microsoft-authentication-library-for-java,"Go, Maven",-,"microsoft-authentication-library-for-dotnet, microsoft-authentication-library-for-go, microsoft-authentication-library-for-java, microsoft-authentication-library-for-js, microsoft-authentication-library-for-python"
msgpack-java,https://github.com/msgpack/msgpack-java,"Go, Maven",-,"msgpack-c, msgpack-erlang, msgpack-go, msgpack-haskell, msgpack-java, msgpack-javascript, msgpack-node, msgpack-ocaml, msgpack-perl, msgpack-php, msgpack-python, msgpack-ruby, msgpack-scala"
client-java,https://github.com/tikv/client-java,"Go, Maven",-,"client-c, client-cpp, client-go, client-java, client-node, client-py, client-rust"
client-sdk-java,https://github.com/diem/client-sdk-java,"Go, Maven",-,"client-sdk-go, client-sdk-java, client-sdk-python"
skywalking-java,https://github.com/apache/skywalking-java,"Go, Maven",-,"skywalking-go, skywalking-java, skywalking-nodejs, skywalking-php, skywalking-python, skywalking-ruby, skywalking-rust"
grpc-kt,https://github.com/xiaodongw/grpc-kt,"Go, Maven",-,"grpc-java, grpc-kotlin, grpc-kt"
google-cloud-java,https://github.com/googleapis/google-cloud-java,"Go, Maven",-,"google-cloud-cpp, google-cloud-dart, google-cloud-dotnet, google-cloud-go, google-cloud-java, google-cloud-node, google-cloud-php, google-cloud-python, google-cloud-ruby, google-cloud-rust"
starknet-jvm,https://github.com/software-mansion/starknet-jvm,"Go, Maven",-,"starknet-jvm, starknet-rust"
