Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/cityjson/cjseq,212750,cjseq,https://github.com/cityjson/cjseq,https://github.com/cityjson/cjseq,216399,@cityjson/cjseq,https://github.com/cityjson/cjseq,git+https://github.com/cityjson/cjseq.git
github.com/open-s2/earclip,212824,earclip,https://github.com/Open-S2/earclip,https://github.com/Open-S2/earclip,1809095,earclip,https://github.com/Open-S2/earclip#readme,git+https://github.com/Open-S2/earclip.git
github.com/josh-fisher/datto-rmm,212888,datto-api,,https://github.com/josh-fisher/datto-rmm,1711894,datto-rmm-mcp-server,https://github.com/josh-fisher/datto-rmm#readme,git+https://github.com/josh-fisher/datto-rmm.git
github.com/sipemu/anofox-regression,212941,anofox-regression,,https://github.com/sipemu/anofox-regression,1004765,@sipemu/anofox-regression,https://github.com/sipemu/anofox-regression#readme,git+https://github.com/sipemu/anofox-regression.git
github.com/dmmulroy/jj-ryu,213007,jj-ryu,,https://github.com/dmmulroy/jj-ryu,2282668,jj-ryu-linux-x64-musl,https://github.com/dmmulroy/jj-ryu#readme,git+https://github.com/dmmulroy/jj-ryu.git
github.com/fireflyprotocol/pro-sdk,213052,bluefin-pro,https://bluefin.io/,https://github.com/fireflyprotocol/pro-sdk,158101,@bluefin-exchange/pro-sdk,https://github.com/fireflyprotocol/pro-sdk#readme,git+https://github.com/fireflyprotocol/pro-sdk.git
github.com/aimable100/horkos,213102,horkos,https://horkos.cloud,https://github.com/aimable100/horkos,2165874,horkos,https://github.com/aimable100/horkos,git+https://github.com/aimable100/horkos.git
github.com/ajokela/ballistics-engine,213285,ballistics-engine,https://ballistics.rs/,https://github.com/ajokela/ballistics-engine,1428816,ballistics-engine,https://ballistics.rs/,git+https://github.com/ajokela/ballistics-engine.git
github.com/guide-inc-org/opensequencediagrams-core,213488,osd-core,,https://github.com/guide-inc-org/opensequencediagrams-core,450095,@guide-inc-org/opensequencediagrams-core,https://github.com/guide-inc-org/opensequencediagrams-core#readme,git+https://github.com/guide-inc-org/opensequencediagrams-core.git
github.com/rahulrajaram/sw4rm,213523,sw4rm-sdk,https://sw4rm.ai,https://github.com/rahulrajaram/sw4rm,1059609,@sw4rm/js-sdk,https://github.com/rahulrajaram/sw4rm#readme,git+https://github.com/rahulrajaram/sw4rm.git
