Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
183136,portablemc-cli,https://github.com/mindstorm38/portablemc,https://github.com/mindstorm38/portablemc,471057,portablemc,https://github.com/mindstorm38/portablemc,https://github.com/mindstorm38/portablemc
182814,clickhouse_rowbinary,,https://github.com/dovreshef/clickhouse-rowbinary,95469,clickhouse-rowbinary,https://pypi.org/project/clickhouse-rowbinary/,https://github.com/dovreshef/clickhouse-rowbinary
183117,tuid,,https://github.com/mselee/tuid/blob/master/tuid-rs,668015,tuid,https://pypi.org/project/tuid/,https://github.com/mselee/tuid/blob/master/tuid-py
183196,lle,https://github.com/yamoling/lle,https://github.com/yamoling/lle,316675,laser-learning-environment,https://github.com/yamoling/lle,https://github.com/yamoling/lle
183210,biometal,https://github.com/shandley/biometal,https://github.com/shandley/biometal,59797,biometal-rs,https://github.com/shandley/biometal,https://github.com/shandley/biometal
183896,mutalyzer,https://github.com/mutalyzer/mutalyzer,https://github.com/mutalyzer/mutalyzer,378973,mutalyzer,https://github.com/mutalyzer/mutalyzer,https://github.com/mutalyzer/mutalyzer
184368,survival,,https://github.com/Cameron-Lyons/survival,627816,survival,https://pypi.org/project/survival/,https://github.com/Cameron-Lyons/survival
184375,gcop-rs,https://github.com/AptS-1547/gcop-rs,https://github.com/AptS-1547/gcop-rs,233632,gcop-rs,https://github.com/AptS-1547/gcop-rs,https://github.com/AptS-1547/gcop-rs
184573,mini-ode,,https://github.com/antoniprzybylik/mini-ode,360741,mini-ode,https://pypi.org/project/mini-ode/,https://github.com/antoniprzybylik/mini-ode
206184,pindakaas-intel-sat,https://github.com/pindakaashq/pindakaas,https://github.com/pindakaashq/pindakaas,461231,pindakaas,https://github.com/pindakaashq/pindakaas,https://github.com/pindakaashq/pindakaas
185104,votable,https://github.com/cds-astro/cds-votable-rust/,https://github.com/cds-astro/cds-votable-rust/,691091,votable-cli,https://github.com/cds-astro/cds-votable-rust/tree/main/crates/cli,https://github.com/cds-astro/cds-votable-rust/tree/main/crates/cli
185367,safe_unzip,https://tenuo.dev,https://github.com/tenuo-ai/safe_unzip,569579,safe-unzip,https://pypi.org/project/safe-unzip/,https://github.com/tenuo-ai/safe_unzip
185411,hdfs-native,https://github.com/Kimahriman/hdfs-native,https://github.com/Kimahriman/hdfs-native,259943,hdfs-native,https://github.com/Kimahriman/hdfs-native,https://github.com/Kimahriman/hdfs-native
185420,lafs,,https://github.com/crwood/lafs,314348,lafs,https://pypi.org/project/lafs/,https://github.com/crwood/lafs
199981,ontoenv-cli,https://github.com/gtfierro/ontoenv-rs,https://github.com/gtfierro/ontoenv-rs,510561,pyontoenv,https://pypi.org/project/pyontoenv/,https://github.com/gtfierro/ontoenv-rs
185480,ndbioimage,https://github.com/wimpomp/ndbioimage/tree/rs,https://github.com/wimpomp/ndbioimage/tree/rs,388340,ndbioimage,https://pypi.org/project/ndbioimage/,https://github.com/wimpomp/ndbioimage
185505,mtc-token-healing,https://github.com/ModelTC/mtc-token-healing,https://github.com/ModelTC/mtc-token-healing,376480,mtc-token-healing,https://github.com/ModelTC/mtc-token-healing,https://github.com/ModelTC/mtc-token-healing
185573,quantrs,https://github.com/carlobortolan/quantrs,https://github.com/carlobortolan/quantrs,539961,quantrs,https://github.com/carlobortolan/quantrs,https://github.com/carlobortolan/quantrs
185733,emval,https://github.com/bnkc/emval,https://github.com/bnkc/emval,189348,emval,https://github.com/bnkc/emval,https://github.com/bnkc/emval
185866,recursive_matching,https://github.com/JohnMVSantos/Recursive-Matching/,https://github.com/JohnMVSantos/Recursive-Matching/,549578,recursive-matching,https://github.com/JohnMVSantos/Recursive-Matching,https://github.com/JohnMVSantos/Recursive-Matching
186144,pharia-skill-cli,,https://github.com/Aleph-Alpha/pharia-skill-cli,457953,pharia-skill-cli,https://pypi.org/project/pharia-skill-cli/,https://github.com/Aleph-Alpha/pharia-skill-cli
186211,voidlight,https://github.com/hsmalley/velvet-chains,https://github.com/hsmalley/velvet-chains,690591,voidlight-choreographer,https://pypi.org/project/voidlight-choreographer/,https://github.com/hsmalley/velvet-chains
186218,fastbloom-rs,https://github.com/yankun1992/fastbloom,https://github.com/yankun1992/fastbloom,205879,fastbloom-rs,https://github.com/yankun1992/fastbloom,https://github.com/yankun1992/fastbloom
186380,test_cpu_parallel,https://github.com/LucaCanali/Miscellaneous/tree/master/Performance_Testing/Test_CPU_parallel_Rust,https://github.com/LucaCanali/Miscellaneous,660807,TPCDS-PySpark,https://github.com/LucaCanali/Miscellaneous/tree/master/Performance_Testing/TPCDS_PySpark,https://github.com/LucaCanali/Miscellaneous/tree/master/Performance_Testing/TPCDS_PySpark
186559,scors,https://github.com/hanslovsky/scors,https://github.com/hanslovsky/scors,576867,scors,https://github.com/hanslovsky/scors,https://github.com/hanslovsky/scors
186893,fips203-ffi,,https://github.com/integritychain/fips203,213982,fips203,https://pypi.org/project/fips203/,https://github.com/integritychain/fips203.git
186754,slum,https://slum.dev,https://github.com/russellromney/slum,599477,slum,https://slum.dev,https://github.com/russellromney/slum
186764,walsync,,https://github.com/russellromney/walsync,694004,walsync,https://pypi.org/project/walsync/,https://github.com/russellromney/walsync
186810,metatron-qso-rs,,https://github.com/LashSesh/qso,355741,metatron-qso,https://pypi.org/project/metatron-qso/,https://github.com/LashSesh/qso
187107,carbem,,https://github.com/jonperron/carbem,79105,carbem-python,https://pypi.org/project/carbem-python/,https://github.com/jonperron/carbem
187187,google-fonts-glyphsets,,https://github.com/googlefonts/glyphsets,244624,glyphsets,https://github.com/googlefonts/glyphsets/,https://github.com/googlefonts/glyphsets/
187784,rustreexo,https://github.com/mit-dci/rustreexo,https://github.com/mit-dci/rustreexo,532174,pytreexo,https://github.com/mit-dci/rustreexo,https://github.com/mit-dci/rustreexo
187861,roman-numerals-rs,,https://github.com/AA-Turner/roman-numerals/,562642,roman-numerals-py,https://pypi.org/project/roman-numerals-py/,https://github.com/AA-Turner/roman-numerals/
188323,pyridis-examples,https://iridis-rs.github.io/pyridis/,https://github.com/iridis-rs/pyridis,516371,pyridis-message,https://iridis-rs.github.io/pyridis/,https://github.com/iridis-rs/pyridis
188197,ifd-jcecard,https://github.com/kushaldas/jcecard,https://github.com/kushaldas/jcecard,292991,jcecard,https://pypi.org/project/jcecard/,https://github.com/kushaldas/jcecard
188335,cfpyo3_rs_bindings,https://github.com/carefree0910/carefree-pyo3,https://github.com/carefree0910/carefree-pyo3,79422,carefree-pyo3,https://github.com/carefree0910/carefree-pyo3,https://github.com/carefree0910/carefree-pyo3
188510,spimdisasm,,https://github.com/Decompollaborate/spimdisasm,610976,spimdisasm,https://pypi.org/project/spimdisasm/,https://github.com/Decompollaborate/spimdisasm
188544,taxonomy,,https://github.com/onecodex/taxonomy,636328,taxonomy,https://pypi.org/project/taxonomy/,https://github.com/onecodex/taxonomy
188667,ffxiv-crafting,,https://github.com/Tnze/ffxiv-crafting,210585,ffxiv-crafting,https://pypi.org/project/ffxiv-crafting/,https://github.com/Tnze/ffxiv-crafting
188945,nii-rs,,https://github.com/Plasma-Blue/nii-rs,396420,nii-rs,https://pypi.org/project/nii-rs/,https://github.com/Plasma-Blue/nii-rs
189122,tenuo,,https://github.com/tenuo-ai/tenuo,640833,tenuo,https://pypi.org/project/tenuo/,https://github.com/tenuo-ai/tenuo
203238,kernel-abi-check,https://github.com/huggingface/kernel-builder,https://github.com/huggingface/kernel-builder,305778,kernel-abi-check,https://github.com/huggingface/kernel-builder,https://github.com/huggingface/kernel-builder
189200,windows-capture,,https://github.com/NiiightmareXD/windows-capture,701327,windows-capture,https://pypi.org/project/windows-capture/,https://github.com/NiiightmareXD/windows-capture/tree/main/windows-capture-python
189365,ferromic,https://github.com/SauersML/ferromic,https://github.com/SauersML/ferromic,209977,ferromic,https://github.com/SauersML/ferromic,https://github.com/SauersML/ferromic
189411,radixtarget,,https://github.com/blacklanternsecurity/radixtarget,543317,radixtarget,https://pypi.org/project/radixtarget/,https://github.com/blacklanternsecurity/radixtarget
189455,dwat,https://github.com/zolutal/dwat,https://github.com/zolutal/dwat,178613,dwat,https://github.com/zolutal/dwat,https://github.com/zolutal/dwat
189647,bex,,https://github.com/tangentstorm/bex,634316,tangentstorm-bex,https://pypi.org/project/tangentstorm-bex/,https://github.com/tangentstorm/bex/tree/main/py
189779,fat-macho,,https://github.com/messense/fat-macho-rs.git,207654,fat-macho,https://github.com/messense/fat-macho-rs,https://github.com/messense/fat-macho-rs.git
189785,hdc-rs,https://github.com/oslo254804746/hdc-rs,https://github.com/oslo254804746/hdc-rs,259865,hdc-rs-py,https://github.com/oslo254804746/hdc-rs,https://github.com/oslo254804746/hdc-rs
189846,cs2-nav,,https://github.com/JanEricNitschke/cs2_meeting_points,119052,cs2-nav,https://pypi.org/project/cs2-nav/,https://github.com/JanEricNitschke/cs2_meeting_points
214218,calib-targets,https://vitalyvorobyev.github.io/calib-targets-rs/,https://github.com/VitalyVorobyev/calib-targets-rs,77213,calib-targets,https://pypi.org/project/calib-targets/,https://github.com/VitalyVorobyev/calib-targets-rs
190243,edgefirst-schemas,https://doc.edgefirst.ai,https://github.com/EdgeFirstAI/schemas,184226,edgefirst-schemas,https://pypi.org/project/edgefirst-schemas/,https://github.com/EdgeFirstAI/schemas
190444,shapley,,https://github.com/shenxiangzhuang/shapley,587331,shapleyrs,https://pypi.org/project/shapleyrs/,https://github.com/shenxiangzhuang/shapley
190654,weedforge,,https://github.com/danghoangnhan/weedforge,698164,weedforge,https://pypi.org/project/weedforge/,https://github.com/danghoangnhan/weedforge
190989,toktkn,https://github.com/nnethercott/toktkn,https://github.com/nnethercott/toktkn,655289,toktkn,https://github.com/nnethercott/toktkn,https://github.com/nnethercott/toktkn
191168,analiticcl,https://github.com/proycon/analiticcl,https://github.com/proycon/analiticcl,22910,analiticcl,https://github.com/proycon/analiticcl,https://github.com/proycon/analiticcl
191184,ivp,https://github.com/Ryan-D-Gast/ivp,https://github.com/Ryan-D-Gast/ivp,290684,ivp-rs,https://github.com/Ryan-D-Gast/ivp,https://github.com/Ryan-D-Gast/ivp
191814,cryptatools-cli,,https://github.com/gogo2464/cryptatools-rs,118305,cryptatools-python3,https://github.com/gogo2464/cryptatools-rs,https://github.com/gogo2464/cryptatools-rs
191332,texture2ddecoder,https://crates.io/crates/texture2ddecoder,https://github.com/UniversalGameExtraction/texture2ddecoder,646022,texture2ddecoder-rs,https://crates.io/crates/texture2ddecoder,https://github.com/UniversalGameExtraction/texture2ddecoder
191370,ros2_tui,https://github.com/Tillbeemelmanns/ros2_tui,https://github.com/Tillbeemelmanns/ros2_tui,563044,ros2-tui,https://github.com/Tillbeemelmanns/ros2_tui,https://github.com/Tillbeemelmanns/ros2_tui
191585,svdtools,,https://github.com/rust-embedded/svdtools/,628103,svdtools,https://github.com/rust-embedded/svdtools,https://github.com/rust-embedded/svdtools
191805,dook,https://github.com/pteromys/dook,https://github.com/pteromys/dook,171433,dook,https://github.com/pteromys/dook,https://github.com/pteromys/dook
191923,hexora,https://github.com/rushter/hexora,https://github.com/rushter/hexora,263273,hexora,https://pypi.org/project/hexora/,https://github.com/rushter/hexora
192007,bkmr,https://github.com/sysid/bkmr,https://github.com/sysid/bkmr,61487,bkmr,https://github.com/sysid/bkmr,https://github.com/sysid/bkmr
192020,tropical-gemm,,https://github.com/TensorBFS/tropical-gemm,665579,tropical-gemm,https://pypi.org/project/tropical-gemm/,https://github.com/TensorBFS/tropical-gemm
