Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/oxidd/oxidd,207076,oxidd,https://oxidd.net,https://github.com/OxiDD/oxidd,443727,oxidd,https://oxidd.net,https://github.com/OxiDD/oxidd
github.com/cargo-lambda/cargo-lambda,12541,cargo-lambda,https://github.com/cargo-lambda/cargo-lambda,https://github.com/cargo-lambda/cargo-lambda,79470,cargo-lambda,https://github.com/cargo-lambda/cargo-lambda,https://github.com/cargo-lambda/cargo-lambda
github.com/ciaranra/ironsnake,26402,ironsnake-simple,https://github.com/ciaranra/ironsnake,https://github.com/ciaranra/ironsnake,288377,ironsnake-simple,https://pypi.org/project/ironsnake-simple/,https://github.com/ciaranra/ironsnake
github.com/toucantoco/fastexcel,11932,fastexcel,https://github.com/ToucanToco/fastexcel,https://github.com/ToucanToco/fastexcel.git,206313,fastexcel,https://github.com/ToucanToco/fastexcel,https://github.com/ToucanToco/fastexcel
github.com/sgomezsal/typ2anki,12036,typ2anki,https://github.com/sgomezsal/typ2anki,https://github.com/sgomezsal/typ2anki,671148,typ2anki,https://github.com/sgomezsal/typ2anki,https://github.com/sgomezsal/typ2anki
github.com/leroyguillaume/crabflow,12103,crabflow,,https://github.com/leroyguillaume/crabflow,115713,crabflow,https://pypi.org/project/crabflow/,https://github.com/leroyguillaume/crabflow
github.com/rudof-project/rudof,212717,rudof_cli,https://rudof-project.github.io/rudof,https://github.com/rudof-project/rudof,517206,pyrudof,https://rudof-project.github.io/rudof,https://github.com/rudof-project/rudof
github.com/infinitehaiku/ih-muse,168159,ih-muse-proto,https://infinitehaiku.com,https://github.com/infinitehaiku/ih-muse,277128,ih-muse,https://pypi.org/project/ih-muse/,https://github.com/infinitehaiku/ih-muse
github.com/ariostas/cygv,12676,cygv,,https://github.com/ariostas/cygv,124713,cygv,https://pypi.org/project/cygv/,https://github.com/ariostas/cygv
github.com/crwood/deterministic-keygen,12692,deterministic-keygen,,https://github.com/crwood/deterministic-keygen,140806,deterministic-keygen,https://pypi.org/project/deterministic-keygen/,https://github.com/crwood/deterministic-keygen
github.com/carecoders/dicom-anonymization,12759,dicom-anonymization,,https://github.com/carecoders/dicom-anonymization,134722,dcmanon,https://pypi.org/project/dcmanon/,https://github.com/carecoders/dicom-anonymization.git
