Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/knplabs/knpsnappybundle,506733,github.com/knplabs/knpsnappybundle,https://github.com/knplabs/knpsnappybundle,https://github.com/knplabs/knpsnappybundle,200091,knplabs/knp-snappy-bundle,,https://github.com/KnpLabs/KnpSnappyBundle
github.com/leantime/leantime,506922,github.com/leantime/leantime,https://github.com/leantime/leantime,https://github.com/leantime/leantime,210947,leantime/leantime,,https://github.com/Leantime/leantime
github.com/nyholm/psr7,510650,github.com/nyholm/psr7,https://github.com/nyholm/psr7,https://github.com/nyholm/psr7,271479,nyholm/psr7,,https://github.com/Nyholm/psr7
github.com/oxid-esales/oxideshop_ce,510707,github.com/oxid-esales/oxideshop_ce,https://github.com/oxid-esales/oxideshop_ce,https://github.com/oxid-esales/oxideshop_ce,281920,oxid-esales/oxideshop-ce,,https://github.com/OXID-eSales/oxideshop_ce
github.com/ocramius/packageversions,510717,github.com/ocramius/packageversions,https://github.com/ocramius/packageversions,https://github.com/ocramius/packageversions,272785,ocramius/package-versions,,https://github.com/Ocramius/PackageVersions
github.com/ocramius/proxymanager,510720,github.com/ocramius/proxymanager,https://github.com/ocramius/proxymanager,https://github.com/ocramius/proxymanager,272786,ocramius/proxy-manager,,https://github.com/Ocramius/ProxyManager
github.com/php-ffmpeg/php-ffmpeg,510954,github.com/php-ffmpeg/php-ffmpeg,https://github.com/php-ffmpeg/php-ffmpeg,https://github.com/php-ffmpeg/php-ffmpeg,292204,php-ffmpeg/php-ffmpeg,,https://github.com/PHP-FFMpeg/PHP-FFMpeg
github.com/phpcheckstyle/phpcheckstyle,510955,github.com/phpcheckstyle/phpcheckstyle,https://github.com/phpcheckstyle/phpcheckstyle,https://github.com/phpcheckstyle/phpcheckstyle,293385,phpcheckstyle/phpcheckstyle,,https://github.com/PHPCheckstyle/phpcheckstyle
github.com/phpcompatibility/phpcompatibility,510956,github.com/phpcompatibility/phpcompatibility,https://github.com/phpcompatibility/phpcompatibility,https://github.com/phpcompatibility/phpcompatibility,412270,wimg/php-compatibility,,https://github.com/PHPCompatibility/PHPCompatibility
github.com/phpmailer/phpmailer,510960,github.com/phpmailer/phpmailer,https://github.com/phpmailer/phpmailer,https://github.com/phpmailer/phpmailer,294232,phpmailer/phpmailer,,https://github.com/PHPMailer/PHPMailer
github.com/phpoffice/phpspreadsheet,510963,github.com/phpoffice/phpspreadsheet,https://github.com/phpoffice/phpspreadsheet,https://github.com/phpoffice/phpspreadsheet,294497,phpoffice/phpspreadsheet,,https://github.com/PHPOffice/PhpSpreadsheet
github.com/payone-gmbh/magento-2,510969,github.com/payone-gmbh/magento-2,https://github.com/payone-gmbh/magento-2,https://github.com/payone-gmbh/magento-2,286534,payone-gmbh/magento-2,,https://github.com/PAYONE-GmbH/magento-2
github.com/payum/payumbundle,511054,github.com/payum/payumbundle,https://github.com/payum/payumbundle,https://github.com/payum/payumbundle,286778,payum/payum-bundle,,https://github.com/Payum/PayumBundle
github.com/privatebin/privatebin,511272,github.com/privatebin/privatebin,https://github.com/privatebin/privatebin,https://github.com/privatebin/privatebin,303066,privatebin/privatebin,,https://github.com/PrivateBin/PrivateBin
github.com/propaganistas/laravel-phone,511290,github.com/propaganistas/laravel-phone,https://github.com/propaganistas/laravel-phone,https://github.com/propaganistas/laravel-phone,304327,propaganistas/laravel-phone,,https://github.com/Propaganistas/Laravel-Phone
github.com/protoqol/prequel,511296,github.com/protoqol/prequel,https://github.com/protoqol/prequel,https://github.com/protoqol/prequel,304558,protoqol/prequel,,https://github.com/Protoqol/Prequel
github.com/rss-bridge/rss-bridge,511488,github.com/rss-bridge/rss-bridge,https://github.com/rss-bridge/rss-bridge,https://github.com/rss-bridge/rss-bridge,324352,rss-bridge/rss-bridge,,https://github.com/RSS-Bridge/rss-bridge
github.com/usemuffin/footprint,512467,github.com/usemuffin/footprint,https://github.com/usemuffin/footprint,https://github.com/usemuffin/footprint,254519,muffin/footprint,,https://github.com/UseMuffin/Footprint
github.com/roave/backwardcompatibilitycheck,512542,github.com/roave/backwardcompatibilitycheck,https://github.com/roave/backwardcompatibilitycheck,https://github.com/roave/backwardcompatibilitycheck,320585,roave/backward-compatibility-check,,https://github.com/Roave/BackwardCompatibilityCheck
github.com/thebigbrainscompany/tbbcmoneybundle,512588,github.com/thebigbrainscompany/tbbcmoneybundle,https://github.com/thebigbrainscompany/tbbcmoneybundle,https://github.com/thebigbrainscompany/tbbcmoneybundle,371081,tbbc/money-bundle,,https://github.com/TheBigBrainsCompany/TbbcMoneyBundle
github.com/socialconnect/auth,512601,github.com/socialconnect/auth,https://github.com/socialconnect/auth,https://github.com/socialconnect/auth,349172,socialconnect/auth,,https://github.com/SocialConnect/auth
github.com/sidroberts/phalcon-boundmodels,512642,github.com/sidroberts/phalcon-boundmodels,https://github.com/sidroberts/phalcon-boundmodels,https://github.com/sidroberts/phalcon-boundmodels,340759,sidroberts/phalcon-boundmodels,,https://github.com/SidRoberts/phalcon-boundmodels
github.com/webysther/packagist-mirror,512684,github.com/webysther/packagist-mirror,https://github.com/webysther/packagist-mirror,https://github.com/webysther/packagist-mirror,409147,webysther/packagist-mirror,,https://github.com/Webysther/packagist-mirror
github.com/venturecraft/revisionable,512772,github.com/venturecraft/revisionable,https://github.com/venturecraft/revisionable,https://github.com/venturecraft/revisionable,396704,venturecraft/revisionable,,https://github.com/VentureCraft/revisionable
github.com/snowdogapps/magento2-frontools,512932,github.com/snowdogapps/magento2-frontools,https://github.com/snowdogapps/magento2-frontools,https://github.com/snowdogapps/magento2-frontools,348771,snowdog/frontools,,https://github.com/SnowdogApps/magento2-frontools
github.com/simplesoftwareio/simple-qrcode,512994,github.com/simplesoftwareio/simple-qrcode,https://github.com/simplesoftwareio/simple-qrcode,https://github.com/simplesoftwareio/simple-qrcode,342972,simplesoftwareio/simple-qrcode,,https://github.com/SimpleSoftwareIO/simple-qrcode
github.com/aaemnnosttv/wp-cli-login-command,513039,github.com/aaemnnosttv/wp-cli-login-command,https://github.com/aaemnnosttv/wp-cli-login-command,https://github.com/aaemnnosttv/wp-cli-login-command,2282,aaemnnosttv/wp-cli-login-command,,https://github.com/aaemnnosttv/wp-cli-login-command
github.com/smile-sa/elasticsuite,513086,github.com/smile-sa/elasticsuite,https://github.com/smile-sa/elasticsuite,https://github.com/smile-sa/elasticsuite,347650,smile/elasticsuite,,https://github.com/Smile-SA/elasticsuite
github.com/sidroberts/phalcon-cron,513377,github.com/sidroberts/phalcon-cron,https://github.com/sidroberts/phalcon-cron,https://github.com/sidroberts/phalcon-cron,340760,sidroberts/phalcon-cron,,https://github.com/SidRoberts/phalcon-cron
github.com/sidroberts/phalcon-seeder,513495,github.com/sidroberts/phalcon-seeder,https://github.com/sidroberts/phalcon-seeder,https://github.com/sidroberts/phalcon-seeder,340762,sidroberts/phalcon-seeder,,https://github.com/SidRoberts/phalcon-seeder
github.com/typo3/typo3,513742,github.com/typo3/typo3,https://github.com/typo3/typo3,https://github.com/typo3/typo3,389433,typo3/cms,,https://github.com/TYPO3/typo3
